timestamp,gerador,repeticao,seed,amostra,tempo_s,ns_por_numero,qui_quadrado,p_valor,qualidade,rss_processo_mb,vms_processo_mb,rss_processo_mb_antes,loadavg_1min,loadavg_5min,loadavg_15min,memoria_total_gb,memoria_disponivel_gb,memoria_utilizada_percent,cpu_fisicas,cpu_logicas,hostname,sistema,release,arquitetura,python_versao
2026-04-16T15:34:02,GNPA original,1,2754794679,100000,0.808633750,8086.337500000,56.646400000,0.700662324,compatível com aleatoriedade uniforme,77.968750,425377.953125,74.500000,1.494140625,1.94970703125,2.1455078125,8.000000,1.567413,80.40,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:02,GNPA original,2,1899526012,100000,0.810040875,8100.408750000,74.160640000,0.158759026,compatível com aleatoriedade uniforme,79.281250,425378.453125,77.968750,1.4541015625,1.93359375,2.138671875,8.000000,1.591553,80.10,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:03,GNPA original,3,2328685183,100000,0.815800666,8158.006660000,50.328320000,0.875836544,compatível com aleatoriedade uniforme,79.312500,425378.453125,79.296875,1.4541015625,1.93359375,2.138671875,8.000000,1.599701,80.00,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:04,GNPA original,4,3049235403,100000,0.810719500,8107.195000000,50.521600000,0.871694638,compatível com aleatoriedade uniforme,80.000000,425378.703125,79.312500,1.4541015625,1.93359375,2.138671875,8.000000,1.585220,80.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:05,GNPA original,5,4265654401,100000,0.820781542,8207.815420000,79.806720000,0.074954213,compatível com aleatoriedade uniforme,80.000000,425378.703125,80.000000,1.4541015625,1.93359375,2.138671875,8.000000,1.637711,79.50,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:06,GNPA original,6,3877454337,100000,0.817087375,8170.873750000,66.432000000,0.359596796,compatível com aleatoriedade uniforme,80.234375,425378.953125,80.000000,1.4541015625,1.93359375,2.138671875,8.000000,1.601486,80.00,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:07,GNPA original,7,3621740338,100000,0.813690667,8136.906670000,62.492160000,0.494370384,compatível com aleatoriedade uniforme,80.234375,425378.953125,80.234375,1.4541015625,1.93359375,2.138671875,8.000000,1.598236,80.00,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:07,GNPA original,8,3939616297,100000,0.825742333,8257.423330000,71.472640000,0.217050294,compatível com aleatoriedade uniforme,80.484375,425379.203125,80.234375,1.49755859375,1.9345703125,2.1376953125,8.000000,1.570663,80.40,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:08,GNPA original,9,3486370663,100000,0.818328291,8183.282910000,88.048640000,0.020308015,possível viés estatístico,80.484375,425379.203125,80.484375,1.49755859375,1.9345703125,2.1376953125,8.000000,1.505493,81.20,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
2026-04-16T15:34:09,GNPA original,10,2585712915,100000,0.809929541,8099.295410000,82.023680000,0.054010208,compatível com aleatoriedade uniforme,80.734375,425379.453125,80.484375,1.49755859375,1.9345703125,2.1376953125,8.000000,1.526260,80.90,8,8,MacBook-Air-de-Alvaro.local,Darwin,25.3.0,arm64,3.9.6
